City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,acapulco,MX,16.8634,-99.8901,82.22,74,75,8.05,broken clouds
1,chokurdakh,RU,70.6333,147.9167,21.4,89,97,8.1,overcast clouds
2,provideniya,RU,64.3833,-173.3,41.36,100,100,40.0,light intensity shower rain
3,berdigestyakh,RU,62.0989,126.6992,29.62,88,100,6.85,light snow
4,busselton,AU,-33.65,115.3333,57.42,62,89,14.47,overcast clouds
5,whyalla,AU,-33.0333,137.5833,78.69,29,75,17.27,broken clouds
6,bodden town,KY,19.2833,-81.25,84.2,75,75,6.91,broken clouds
7,namibe,AO,-15.1961,12.1522,62.01,90,50,7.61,scattered clouds
8,qaanaaq,GL,77.484,-69.3632,5.25,70,35,7.92,scattered clouds
9,coquimbo,CL,-29.9533,-71.3436,55.13,94,0,2.3,clear sky
10,alihe,CN,50.5667,123.7167,39.38,29,0,7.63,clear sky
11,hilo,US,19.7297,-155.09,82.26,84,75,8.05,broken clouds
12,ushuaia,AR,-54.8,-68.3,38.86,93,100,21.85,light rain
13,pontianak,ID,-0.0333,109.3333,76.98,94,75,4.61,broken clouds
14,ternate,ID,0.8,127.4,85.57,65,100,2.01,overcast clouds
15,suslovo,RU,56.2167,88.1167,34.16,99,100,6.4,light snow
16,sinnamary,GF,5.3833,-52.95,78.57,87,3,9.62,clear sky
17,geraldton,AU,-28.7667,114.6,64.81,45,100,13.8,overcast clouds
18,fortuna,US,40.5982,-124.1573,59.34,85,47,1.01,scattered clouds
19,simoes,BR,-7.5989,-40.8178,78.31,30,87,9.78,overcast clouds
20,port alfred,ZA,-33.5906,26.891,57.18,94,66,1.99,broken clouds
21,rikitea,PF,-23.1203,-134.9692,69.94,59,71,20.24,broken clouds
22,mataura,NZ,-46.1927,168.8643,47.48,91,73,10.65,broken clouds
23,saskylakh,RU,71.9167,114.0833,10.35,96,94,5.5,overcast clouds
24,atuona,PF,-9.8,-139.0333,76.91,77,1,18.14,clear sky
25,ola,RU,59.5833,151.2833,32.14,46,63,6.02,broken clouds
26,naze,JP,28.3667,129.4833,76.87,69,77,8.66,broken clouds
27,husavik,IS,66.0449,-17.3389,36.14,98,100,25.12,overcast clouds
28,guymon,US,36.6828,-101.4816,62.6,77,100,3.44,overcast clouds
29,bambous virieux,MU,-20.3428,57.7575,71.85,78,75,9.22,broken clouds
30,natal,BR,-5.795,-35.2094,75.85,94,75,2.3,broken clouds
31,mar del plata,AR,-38.0023,-57.5575,59.09,87,100,1.99,overcast clouds
32,punta arenas,CL,-53.15,-70.9167,42.91,81,0,14.97,clear sky
33,merrill,US,45.1805,-89.6835,61.57,83,75,3.44,broken clouds
34,lasa,IT,46.6166,10.7002,47.35,78,9,4.12,clear sky
35,hermanus,ZA,-34.4187,19.2345,45.81,82,3,12.57,clear sky
36,gao,ML,16.6362,1.637,89.06,15,93,9.46,overcast clouds
37,tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,14.97,overcast clouds
38,nantucket,US,41.2835,-70.0995,60.94,98,100,14.97,overcast clouds
39,carnarvon,AU,-24.8667,113.6333,68.07,34,0,25.32,clear sky
40,beringovskiy,RU,63.05,179.3167,42.69,79,40,29.28,scattered clouds
41,tucuma,BR,-0.1833,-50.05,78.44,77,38,8.37,scattered clouds
42,aden,YE,12.7794,45.0367,85.35,70,86,0.92,overcast clouds
43,cape town,ZA,-33.9258,18.4232,61.38,77,71,1.99,broken clouds
44,barrow,US,71.2906,-156.7887,33.82,80,0,8.05,clear sky
45,albany,US,42.6001,-73.9662,52.56,91,12,4.14,few clouds
46,bredasdorp,ZA,-34.5322,20.0403,48.69,91,1,7.29,clear sky
47,bluff,NZ,-46.6,168.3333,47.8,61,95,21.59,overcast clouds
48,kahului,US,20.8947,-156.47,84.97,75,40,19.57,light rain
49,nikolskoye,RU,59.7035,30.7861,49.91,98,99,8.01,overcast clouds
50,sabha,LY,27.0377,14.4283,69.13,43,0,10.78,clear sky
51,mount pleasant,US,32.7941,-79.8626,62.01,86,0,0.0,clear sky
52,sadasivpet,IN,17.6212,77.9503,71.69,92,100,2.24,overcast clouds
53,taltal,CL,-25.4,-70.4833,60.26,59,0,8.41,clear sky
54,lagoa,PT,39.05,-27.9833,69.03,86,97,17.58,light rain
55,klaksvik,FO,62.2266,-6.589,49.12,80,78,27.42,broken clouds
56,tasiilaq,GL,65.6145,-37.6368,32.16,50,86,6.22,overcast clouds
57,tabas,IR,33.5959,56.9244,70.29,21,0,1.95,clear sky
58,castro,BR,-24.7911,-50.0119,59.68,96,100,5.95,moderate rain
59,augusto correa,BR,-1.0217,-46.635,78.98,77,0,6.82,clear sky
60,nara,JP,34.6851,135.8049,68.5,36,100,6.33,overcast clouds
61,tuatapere,NZ,-46.1333,167.6833,45.73,75,96,14.9,overcast clouds
62,jamestown,US,42.097,-79.2353,52.72,68,28,1.01,scattered clouds
63,bud,US,39.447,-86.1758,57.9,79,26,4.32,scattered clouds
64,vardo,NO,70.3705,31.1107,44.58,81,100,13.8,overcast clouds
65,cherskiy,RU,68.75,161.3,29.88,94,100,10.38,light snow
66,kodiak,US,57.79,-152.4072,53.11,87,100,9.22,mist
67,alyangula,AU,-13.8483,136.4192,87.06,59,57,6.98,broken clouds
68,port lincoln,AU,-34.7333,135.8667,67.59,57,0,7.36,light rain
69,upernavik,GL,72.7868,-56.1549,19.92,89,100,4.47,overcast clouds
70,roela,EE,59.1667,26.5926,52.61,94,100,10.8,overcast clouds
71,arraial do cabo,BR,-22.9661,-42.0278,69.08,85,100,12.93,overcast clouds
72,puri,IN,19.8,85.85,77.52,78,55,9.44,broken clouds
73,kaitangata,NZ,-46.2817,169.8464,42.87,80,95,17.58,overcast clouds
74,atambua,ID,-9.1061,124.8925,84.72,56,94,2.17,overcast clouds
75,lebu,CL,-37.6167,-73.65,50.88,91,100,10.92,overcast clouds
76,raga,SS,8.4596,25.678,69.01,93,100,1.68,light rain
77,mount gambier,AU,-37.8333,140.7667,60.71,94,100,14.97,overcast clouds
78,hobart,AU,-42.8794,147.3294,59.25,70,75,17.27,broken clouds
79,zhuhai,CN,22.2769,113.5678,89.85,79,40,10.36,scattered clouds
80,vaini,TO,-21.2,-175.2,76.6,83,100,8.68,light rain
81,san pedro de uraba,CO,8.2752,-76.3764,74.52,91,100,3.47,overcast clouds
82,harper,LR,4.375,-7.7169,75.85,91,100,4.68,light rain
83,kapaa,US,22.0752,-159.319,80.92,71,75,12.66,light rain
84,baley,RU,51.6,116.6333,32.31,44,0,5.32,clear sky
