City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guerrero Negro,MX,2022-10-03 02:34:30,27.9769,-114.0611,68.49,79,3,15.46
1,Narsaq,GL,2022-10-03 02:34:26,60.9167,-46.05,35.82,64,51,5.12
2,Vestmannaeyjar,IS,2022-10-03 02:34:30,63.4427,-20.2734,49.96,85,100,12.37
3,Airai,TL,2022-10-03 02:34:31,-8.9266,125.4092,72.97,64,97,1.01
4,Carnarvon,AU,2022-10-03 02:34:30,-24.8667,113.6333,74.61,40,0,13.65
5,Poya,NC,2022-10-03 02:34:31,-21.35,165.15,76.96,59,80,11.45
6,Albany,US,2022-10-03 02:32:17,42.6001,-73.9662,48.34,65,100,4.41
7,Busselton,AU,2022-10-03 02:34:32,-33.65,115.3333,60.84,45,75,11.23
8,Cayenne,GF,2022-10-03 02:30:04,4.9333,-52.3333,77.04,94,0,0.0
9,Ushuaia,AR,2022-10-03 02:34:32,-54.8,-68.3,40.66,81,0,3.44
10,Port Alfred,ZA,2022-10-03 02:34:33,-33.5906,26.891,60.19,86,40,7.0
11,Atuona,PF,2022-10-03 02:34:33,-9.8,-139.0333,77.02,74,46,19.6
12,Qaanaaq,GL,2022-10-03 02:34:33,77.484,-69.3632,6.89,74,65,7.67
13,Ilulissat,GL,2022-10-03 02:34:34,69.2167,-51.1,32.02,86,100,1.14
14,Sol-Iletsk,RU,2022-10-03 02:34:34,51.1631,54.9918,45.9,33,40,10.69
15,Sitka,US,2022-10-03 02:31:52,57.0531,-135.33,55.29,67,75,0.0
16,Arraial Do Cabo,BR,2022-10-03 02:34:35,-22.9661,-42.0278,68.86,90,100,6.17
17,East London,ZA,2022-10-03 02:34:35,-33.0153,27.9116,65.88,86,38,18.59
18,Kalianget,ID,2022-10-03 02:34:35,-7.05,113.9333,85.23,66,89,2.8
19,Jamestown,US,2022-10-03 02:34:36,42.097,-79.2353,44.24,62,0,10.36
20,Rikitea,PF,2022-10-03 02:34:36,-23.1203,-134.9692,74.73,69,43,5.93
21,Tieli,CN,2022-10-03 02:34:37,46.95,128.05,38.7,94,100,15.46
22,San Patricio,US,2022-10-03 02:30:45,28.017,-97.5169,78.84,52,100,4.7
23,Zhigansk,RU,2022-10-03 02:34:37,66.7697,123.3711,27.16,83,99,3.83
24,Punta Arenas,CL,2022-10-03 02:34:37,-53.15,-70.9167,42.91,65,0,9.22
25,Finschhafen,PG,2022-10-03 02:34:38,-6.6024,147.8681,85.91,65,22,9.46
26,Vaini,TO,2022-10-03 02:34:38,-21.2,-175.2,78.96,78,75,11.5
27,Mataura,NZ,2022-10-03 02:34:39,-46.1927,168.8643,47.48,44,94,9.95
28,Mahebourg,MU,2022-10-03 02:34:39,-20.4081,57.7,70.25,73,40,10.36
29,Ostrovnoy,RU,2022-10-03 02:34:40,68.0531,39.5131,35.58,87,47,11.95
30,Hambantota,LK,2022-10-03 02:34:40,6.1241,81.1185,82.74,78,40,12.66
31,Bambous Virieux,MU,2022-10-03 02:34:40,-20.3428,57.7575,70.21,73,40,10.36
32,Bayir,TR,2022-10-03 02:34:41,37.2687,28.2167,66.72,77,0,7.65
33,Ruteng,ID,2022-10-03 02:31:01,-8.6136,120.4721,72.91,74,54,0.74
34,Hilo,US,2022-10-03 02:34:41,19.7297,-155.09,83.93,73,0,6.91
35,Castro,BR,2022-10-03 02:34:42,-24.7911,-50.0119,57.54,97,29,5.3
36,Freeport,US,2022-10-03 02:30:18,40.6576,-73.5832,53.96,64,75,24.16
37,Saskylakh,RU,2022-10-03 02:34:43,71.9167,114.0833,25.34,95,98,10.96
38,Butaritari,KI,2022-10-03 02:34:43,3.0707,172.7902,82.47,73,94,15.99
39,Kodiak,US,2022-10-03 02:34:44,57.79,-152.4072,53.11,66,75,9.22
40,New Port Richey,US,2022-10-03 02:30:53,28.2442,-82.7193,77.95,77,0,4.0
41,Hamilton,US,2022-10-03 02:32:22,39.1834,-84.5333,58.87,75,0,10.36
42,Taltal,CL,2022-10-03 02:34:45,-25.4,-70.4833,59.0,72,7,0.45
43,Bluff,NZ,2022-10-03 02:34:45,-46.6,168.3333,47.8,51,97,19.04
44,Myitkyina,MM,2022-10-03 02:34:46,25.3833,97.4,74.89,100,100,0.58
45,Omboue,GA,2022-10-03 02:34:46,-1.5746,9.2618,75.15,91,100,4.29
46,Yellowknife,CA,2022-10-03 02:34:46,62.456,-114.3525,41.56,65,20,9.22
47,Mananjary,MG,2022-10-03 02:35:47,-21.2167,48.3333,64.04,88,0,6.51
48,Griffith,US,2022-10-03 02:32:16,41.5284,-87.4237,58.93,84,0,6.91
49,Whakatane,NZ,2022-10-03 02:35:47,-37.9585,176.9854,66.78,93,45,7.34
50,Payson,US,2022-10-03 02:35:48,40.0444,-111.7321,63.88,56,0,11.5
51,Aksu,CN,2022-10-03 02:35:48,41.1231,80.2644,56.1,23,82,2.06
52,Bethel,US,2022-10-03 02:32:33,41.3712,-73.414,52.16,58,0,8.05
53,Rotterdam,NL,2022-10-03 02:35:49,51.9225,4.4792,53.91,92,20,2.3
54,Hualmay,PE,2022-10-03 02:35:49,-11.0964,-77.6139,62.11,85,50,9.33
55,Norman Wells,CA,2022-10-03 02:34:41,65.282,-126.8329,33.84,93,100,3.44
56,Kapaa,US,2022-10-03 02:35:49,22.0752,-159.319,82.38,77,75,18.41
57,Tasiilaq,GL,2022-10-03 02:32:06,65.6145,-37.6368,37.56,99,100,9.57
58,Puerto Ayora,EC,2022-10-03 02:35:50,-0.7393,-90.3518,63.55,97,92,4.0
59,Killybegs,IE,2022-10-03 02:35:51,54.6333,-8.45,52.2,85,100,8.12
60,Lebu,CL,2022-10-03 02:35:51,-37.6167,-73.65,50.34,84,100,3.53
61,Parati,BR,2022-10-03 02:35:51,-23.2178,-44.7131,67.05,96,95,0.56
62,Boa Vista,BR,2022-10-03 02:35:52,2.8197,-60.6733,76.98,88,40,3.44
63,Port-Gentil,GA,2022-10-03 02:35:52,-0.7193,8.7815,77.29,86,100,9.8
64,Tayga,RU,2022-10-03 02:32:13,56.06,85.6197,27.52,67,20,3.2
65,Avarua,CK,2022-10-03 02:35:52,-21.2078,-159.775,77.05,61,75,18.41
66,Kibaya,TZ,2022-10-03 02:35:53,-5.3,36.5667,51.24,96,73,3.2
67,Cotonou,BJ,2022-10-03 02:35:53,6.3654,2.4183,75.18,94,78,2.3
68,Yaguacire,HN,2022-10-03 02:35:54,14.0167,-87.2167,71.17,78,75,7.0
69,Bredasdorp,ZA,2022-10-03 02:35:54,-34.5322,20.0403,53.73,91,100,7.38
70,Fortuna,US,2022-10-03 02:35:55,40.5982,-124.1573,59.94,82,5,1.1
71,Cape Town,ZA,2022-10-03 02:35:55,-33.9258,18.4232,59.41,83,75,5.01
72,Malangali,TZ,2022-10-03 02:35:55,-8.5667,34.85,57.09,73,7,8.79
73,Kedrovyy,RU,2022-10-03 02:35:56,56.1667,91.8167,34.21,62,50,1.66
74,Barra Do Garcas,BR,2022-10-03 02:34:39,-15.89,-52.2567,73.44,84,100,3.47
75,Tabas,IR,2022-10-03 02:35:56,33.5959,56.9244,68.22,26,0,2.3
76,Dikson,RU,2022-10-03 02:32:01,73.5069,80.5464,31.5,93,100,24.61
77,Leningradskiy,RU,2022-10-03 02:35:57,69.3833,178.4167,29.75,88,100,3.91
78,Vao,NC,2022-10-03 02:35:57,-22.6667,167.4833,69.75,75,76,14.56
79,Saint-Philippe,RE,2022-10-03 02:35:57,-21.3585,55.7679,65.79,79,20,10.13
80,Hermanus,ZA,2022-10-03 02:35:58,-34.4187,19.2345,59.81,84,94,10.89
81,Half Moon Bay,US,2022-10-03 02:35:58,37.4636,-122.4286,66.54,75,0,12.66
82,Talnakh,RU,2022-10-03 02:33:27,69.4865,88.3972,31.21,94,100,13.22
83,Zhangjiakou,CN,2022-10-03 02:35:59,40.81,114.8794,46.18,69,100,15.21
84,Shahrud,IR,2022-10-03 02:35:59,36.4182,54.9763,58.96,56,0,3.47
85,Portland,US,2022-10-03 02:34:12,45.5234,-122.6762,80.53,55,0,1.01
86,Constitucion,CL,2022-10-03 02:36:00,-35.3333,-72.4167,50.34,93,88,6.49
87,Acapulco,MX,2022-10-03 02:34:37,16.8634,-99.8901,80.42,74,40,5.75
88,Nouadhibou,MR,2022-10-03 02:31:54,20.931,-17.0347,73.38,64,0,10.36
89,Atar,MR,2022-10-03 02:36:00,20.5169,-13.0499,87.03,27,8,5.3
90,Hasaki,JP,2022-10-03 02:37:01,35.7333,140.8333,82.29,62,93,4.52
91,Omsukchan,RU,2022-10-03 02:37:01,62.5333,155.8,21.61,84,100,5.82
92,Thompson,CA,2022-10-03 02:37:01,55.7435,-97.8558,60.96,55,20,12.66
93,Lavrentiya,RU,2022-10-03 02:33:18,65.5833,-171.0,38.59,76,18,11.88
94,Sumbe,AO,2022-10-03 02:35:01,-11.2061,13.8437,71.56,85,95,2.46
95,Luderitz,NA,2022-10-03 02:35:46,-26.6481,15.1594,56.46,80,0,16.91
96,Kolpashevo,RU,2022-10-03 02:32:20,58.3131,82.9089,33.21,63,28,4.34
97,Geraldton,AU,2022-10-03 02:37:02,-28.7667,114.6,72.01,46,1,11.5
98,Narrabri,AU,2022-10-03 02:37:03,-30.3167,149.7833,71.53,39,17,4.0
99,Galle,LK,2022-10-03 02:37:03,6.0367,80.217,80.67,81,100,20.49
100,Traverse City,US,2022-10-03 02:32:38,44.7631,-85.6206,50.34,87,0,0.0
101,Vieste,IT,2022-10-03 02:37:03,41.8825,16.175,67.84,76,11,7.58
102,Fukue,JP,2022-10-03 02:37:04,32.6881,128.8419,79.16,78,20,13.8
103,Aklavik,CA,2022-10-03 02:37:04,68.2191,-135.0107,26.96,97,100,4.9
104,Pitimbu,BR,2022-10-03 02:37:04,-7.4706,-34.8086,73.99,77,2,9.98
105,Hithadhoo,MV,2022-10-03 02:37:06,-0.6,73.0833,81.63,68,92,14.16
