City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-10-05 17:35:59,-46.6,168.3333,36.81,68,86,23.78
1,Albany,US,2022-10-05 17:34:48,42.6001,-73.9662,61.68,86,100,3.98
2,Punta Arenas,CL,2022-10-05 17:35:59,-53.15,-70.9167,51.91,46,75,12.66
3,East London,ZA,2022-10-05 17:36:00,-33.0153,27.9116,66.09,81,88,9.01
4,Cape Town,ZA,2022-10-05 17:32:12,-33.9258,18.4232,62.1,61,20,11.5
5,Nikolskoye,RU,2022-10-05 17:36:00,59.7035,30.7861,48.09,93,96,5.26
6,Kaitangata,NZ,2022-10-05 17:36:01,-46.2817,169.8464,34.86,79,99,15.43
7,Ust-Tsilma,RU,2022-10-05 17:36:02,65.441,52.1498,44.29,94,100,5.41
8,Formosa,AR,2022-10-05 17:31:11,-26.1775,-58.1781,85.98,54,40,14.97
9,Pevek,RU,2022-10-05 17:36:02,69.7008,170.3133,29.14,69,100,10.16
10,Jamestown,US,2022-10-05 17:34:48,42.097,-79.2353,69.03,44,0,5.75
11,Egvekinot,RU,2022-10-05 17:36:03,66.3167,-179.1667,33.51,99,100,18.3
12,Luwingu,ZM,2022-10-05 17:36:04,-10.2621,29.9271,72.84,13,15,4.5
13,Ushuaia,AR,2022-10-05 17:36:04,-54.8,-68.3,49.66,46,75,9.22
14,Norman Wells,CA,2022-10-05 17:36:05,65.282,-126.8329,37.44,87,20,3.44
15,Sioux Lookout,CA,2022-10-05 17:36:05,50.1001,-91.917,59.07,63,100,3.44
16,Burns Lake,CA,2022-10-05 17:36:06,54.2331,-125.7533,51.22,84,84,1.32
17,Airai,TL,2022-10-05 17:36:06,-8.9266,125.4092,59.74,83,92,2.01
18,Mataura,NZ,2022-10-05 17:36:07,-46.1927,168.8643,36.48,85,100,8.16
19,Rio Grande,BR,2022-10-05 17:36:07,-32.035,-52.0986,73.51,68,1,17.02
20,Salalah,OM,2022-10-05 17:36:08,17.0151,54.0924,78.89,83,20,5.75
21,Aklavik,CA,2022-10-05 17:31:29,68.2191,-135.0107,30.69,88,100,13.47
22,Lizzano,IT,2022-10-05 17:36:08,40.391,17.4476,67.41,50,0,4.61
23,Port Elizabeth,ZA,2022-10-05 17:31:59,-33.918,25.5701,62.89,82,20,11.5
24,Hermanus,ZA,2022-10-05 17:36:09,-34.4187,19.2345,58.8,80,1,12.37
25,Vaini,TO,2022-10-05 17:36:10,-21.2,-175.2,73.56,100,75,2.3
26,Helena,US,2022-10-05 17:32:59,46.5927,-112.0361,66.16,71,0,0.0
27,Mglin,RU,2022-10-05 17:36:10,53.0591,32.8475,47.17,93,99,9.78
28,Khatanga,RU,2022-10-05 17:36:11,71.9667,102.5,8.91,98,98,3.85
29,Butaritari,KI,2022-10-05 17:36:11,3.0707,172.7902,81.86,69,35,20.54
30,Yumen,CN,2022-10-05 17:36:12,40.2833,97.2,43.02,66,39,7.16
31,Praia,CV,2022-10-05 17:31:32,14.9215,-23.5087,84.74,70,75,6.91
32,Atasu,KZ,2022-10-05 17:36:13,48.6814,71.6433,47.26,34,3,8.03
33,Port Lincoln,AU,2022-10-05 17:36:13,-34.7333,135.8667,54.21,92,4,7.38
34,North Myrtle Beach,US,2022-10-05 17:36:14,33.816,-78.68,74.05,48,0,11.5
35,Bandarbeyla,SO,2022-10-05 17:36:15,9.4942,50.8122,77.86,84,83,11.5
36,New Norfolk,AU,2022-10-05 17:36:16,-42.7826,147.0587,48.92,71,100,1.99
37,Sungai Besar,MY,2022-10-05 17:34:21,3.6746,100.9867,76.95,87,96,3.47
38,Dunedin,NZ,2022-10-05 17:36:16,-45.8742,170.5036,34.68,83,96,19.22
39,Arraial Do Cabo,BR,2022-10-05 17:36:18,-22.9661,-42.0278,73.26,73,100,12.66
40,Pimentel,PE,2022-10-05 17:36:19,-6.8367,-79.9342,70.09,60,0,14.97
41,Kruisfontein,ZA,2022-10-05 17:36:19,-34.0033,24.7314,59.88,82,98,5.99
42,Busselton,AU,2022-10-05 17:36:20,-33.65,115.3333,51.58,56,66,11.68
43,Port Hardy,CA,2022-10-05 17:36:21,50.6996,-127.4199,59.18,88,75,3.44
44,Ransang,PH,2022-10-05 17:37:22,8.9603,117.5828,78.84,86,71,2.48
45,Namatanai,PG,2022-10-05 17:37:22,-3.6667,152.4333,79.14,83,86,8.61
46,Kamaishi,JP,2022-10-05 17:37:22,39.2667,141.8833,49.64,72,61,6.78
47,Hilo,US,2022-10-05 17:37:15,19.7297,-155.09,82.27,89,75,5.75
48,Olafsvik,IS,2022-10-05 17:37:23,64.8945,-23.7142,44.4,66,100,10.83
49,Rikitea,PF,2022-10-05 17:37:24,-23.1203,-134.9692,69.66,58,38,21.21
50,Lebu,CL,2022-10-05 17:37:24,-37.6167,-73.65,55.09,69,23,8.7
51,Balkhash,KZ,2022-10-05 17:37:25,46.844,74.9804,47.41,30,0,15.46
52,Tuatapere,NZ,2022-10-05 17:37:25,-46.1333,167.6833,35.91,79,100,15.3
53,Acapulco,MX,2022-10-05 17:32:43,16.8634,-99.8901,85.82,66,40,5.75
54,Bethel,US,2022-10-05 17:32:46,41.3712,-73.414,60.89,86,100,3.44
55,Bengkulu,ID,2022-10-05 17:37:26,-3.8004,102.2655,76.17,85,100,3.94
56,Mar Del Plata,AR,2022-10-05 17:34:46,-38.0023,-57.5575,66.22,82,75,11.5
57,Clyde River,CA,2022-10-05 17:37:27,70.4692,-68.5914,26.83,74,100,19.57
58,Santa Marta,CO,2022-10-05 17:37:27,11.2408,-74.199,89.65,71,40,6.91
59,Pisco,PE,2022-10-05 17:35:04,-13.7,-76.2167,64.45,72,20,10.36
60,Jawhar,SO,2022-10-05 17:37:28,2.7809,45.5005,76.68,79,37,14.92
61,Tasiilaq,GL,2022-10-05 17:37:28,65.6145,-37.6368,35.76,63,46,4.23
62,Nemuro,JP,2022-10-05 17:37:29,43.3236,145.575,52.36,65,100,4.09
63,Saint Anthony,US,2022-10-05 17:37:29,45.0205,-93.218,72.66,65,20,8.05
64,Darien,US,2022-10-05 17:37:30,41.752,-87.974,75.83,35,75,5.75
65,Isangel,VU,2022-10-05 17:37:30,-19.55,169.2667,71.22,76,26,9.19
66,Bredasdorp,ZA,2022-10-05 17:34:17,-34.5322,20.0403,52.99,82,13,4.81
67,Yichun,CN,2022-10-05 17:34:27,47.7,128.9,25.41,61,22,3.85
68,Calabar,NG,2022-10-05 17:37:31,4.9517,8.322,75.13,93,100,4.85
69,Ponta Do Sol,PT,2022-10-05 17:37:31,32.6667,-17.1,75.0,86,91,4.79
70,Barrow,US,2022-10-05 17:37:31,71.2906,-156.7887,37.42,81,100,21.85
71,Vitim,RU,2022-10-05 17:37:32,59.4511,112.5578,29.39,73,99,7.16
