,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
5,whyalla,AU,78.69,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
6,bodden town,KY,84.2,broken clouds,19.2833,-81.25,Will T Place
11,hilo,US,82.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
14,ternate,ID,85.57,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
16,sinnamary,GF,78.57,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,simoes,BR,78.31,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
24,atuona,PF,76.91,clear sky,-9.8,-139.0333,Villa Enata
26,naze,JP,76.87,broken clouds,28.3667,129.4833,Shishime Hotel
30,natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
42,aden,YE,85.35,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
48,kahului,US,84.97,light rain,20.8947,-156.47,Maui Seaside Hotel
59,augusto correa,BR,78.98,clear sky,-1.0217,-46.635,Fazenda Bacuri
67,alyangula,AU,87.06,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
72,puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
74,atambua,ID,84.72,overcast clouds,-9.1061,124.8925,Ros Muskanan
79,zhuhai,CN,89.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
80,vaini,TO,76.6,light rain,-21.2,-175.2,Keleti Beach Resort
82,harper,LR,75.85,light rain,4.375,-7.7169,Screensaver
83,kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
103,avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
